sku,description,brand,upc,unit_weight,price,classification,notes,
VS-502345-D,VICTORIA SECRET-AMBER ROMANCE LOTION 236 ML/8 OZ,VICTORIA SECRET,667554502345,,,SKINCARE,,
VS-502932,VICTORIA SECRET-COCONUT PASSION FRAGRANCE MIST 250 ML/8.4 OZ,VICTORIA SECRET,667554502932,0.5,19.95,FRAGRANCE MIST,,
VS-502963,VICTORIA SECRET-VELVET PETALS SHIMMER MIST 250 ML,VICTORIA SECRET,667554502963,0.1,19.95,PERFUMES,,
VS-582080,VICTORIA SECRET-AQUA KISS BODY LOTION 236ML/8OZ,VICTORIA SECRET,667538582080,0.5,19.95,FRAGRANCE LOTION,,
VS-605006,VICTORIA SECRET AQUA KISS MIST 248 ML (CO:-MADE IN USA),VICTORIA SECRET,667556605006,0.54,19.95,FRAGRANCE MIST,,
VS-605013,VICTORIA SECRET-COCONUT PASSION FRAGRANCE MIST 250ML/8.4OZ (CO:- MADE IN USA),VICTORIA SECRET,667556605013,0.52,19.95,FRAGRANCE MIST,,
VS-605020,VICTORIA SECRET AMBER ROMANCE MIST 248ML (CO:- MADE IN USA),VICTORIA SECRET,667556605020,0.54,19.95,FRAGRANCE MIST,,
VS-605037,VICTORIA SECRET-MIDNIGHT BLOOM FRAGRANCE MIST 250ML/8.4OZ (CO:- MADE IN USA),VICTORIA SECRET,667556605037,,19.95,FRAGRANCE MIST,,
VS-605044,VICTORIA SECRET-TEMPTATION MIST 248 ML/8.4 OZ (CO:- MADE IN USA),VICTORIA SECRET,667556605044,,19.95,FRAGRANCE MIST,,
VS-605051,VICTORIA SECRET-ROMANTIC MIST 248 ML/8.4 OZ (CO:-MADE IN USA),VICTORIA SECRET,667556605051,0.54,19.95,FRAGRANCE MIST,,
VS-605068,VICTORIA SECRET-RUSH MIST 248 ML/8.4 OZ (CO:-MADE IN USA),VICTORIA SECRET,667556605068,,19.95,FRAGRANCE MIST,,
VS-605075,VICTORIA SECRET-LOVE SPELL BODY LOTION 236 ML/8 OZ (CO:- MADE IN USA),VICTORIA SECRET,667556605075,0.5,19.95,FRAGRANCE LOTION,,
VS-605082,VICTORIA SECRET-PURE SEDUCTION BODY LOTION 237 ML/8OZ (CO:- MADE IN USA),VICTORIA SECRET,667556605082,0.5,19.95,FRAGRANCE LOTION,,
VS-605082-D,VICTORIA SECRET-PURE SEDUCTION BODY LOTION 237 ML/8OZ (CO:- MADE IN USA),VICTORIA SECRET,667556605082,,19.95,FRAGRANCE LOTION,,
VS-605099,VICTORIA SECRET-VELVET PETALS BODY LOTION 236ML/8OZ (CO:- MADE IN USA),VICTORIA SECRET,667556605099,0.5,19.95,FRAGRANCE LOTION,,
